,pos,neg,neu,comp,tag
540,0.081,0.183,0.736,-0.7717,2006
541,0.111,0.283,0.606,-0.8316,2006
542,0.249,0.152,0.599,0.7436,2006
543,0.206,0.028,0.766,0.8126,2006
544,0.089,0.043,0.868,0.296,2006
545,0.157,0.156,0.687,0.0258,2006
546,0.153,0.104,0.743,-0.1872,2006
547,0.154,0.0,0.846,0.7906,2006
548,0.222,0.0,0.778,0.7717,2006
549,0.121,0.274,0.605,-0.8779,2006
550,0.028,0.117,0.855,-0.6597,2006
551,0.174,0.057,0.769,0.6908,2006
552,0.205,0.0,0.795,0.7906,2006
553,0.05,0.248,0.702,-0.875,2006
554,0.337,0.0,0.663,0.9136,2006
555,0.087,0.107,0.806,-0.1779,2006
556,0.161,0.13,0.709,0.1456,2006
557,0.1,0.082,0.818,0.0,2006
558,0.0,0.061,0.939,-0.4404,2006
559,0.21,0.163,0.627,0.34,2006
560,0.0,0.0,1.0,0.0,2006
561,0.232,0.202,0.567,0.0828,2006
562,0.234,0.173,0.594,0.5267,2006
563,0.195,0.049,0.755,0.6808,2006
564,0.059,0.051,0.891,0.0772,2006
565,0.0,0.395,0.605,-0.9844,2006
566,0.038,0.0,0.962,0.128,2006
567,0.166,0.109,0.725,0.2263,2006
568,0.157,0.172,0.672,-0.2023,2006
569,0.055,0.082,0.864,-0.296,2006
570,0.069,0.133,0.798,-0.34,2006
571,0.204,0.046,0.75,0.802,2006
572,0.168,0.059,0.773,0.6369,2006
573,0.119,0.044,0.837,0.5267,2006
574,0.0,0.291,0.709,-0.9246,2006
575,0.0,0.0,1.0,0.0,2006
576,0.171,0.162,0.667,0.1027,2006
577,0.21,0.247,0.543,-0.6976,2006
578,0.127,0.0,0.873,0.4745,2006
579,0.159,0.0,0.841,0.7964,2006
580,0.0,0.446,0.554,-0.9612,2006
581,0.137,0.049,0.814,0.5994,2006
582,0.148,0.112,0.74,0.4404,2006
583,0.115,0.0,0.885,0.7096,2006
584,0.125,0.081,0.794,0.128,2006
585,0.161,0.219,0.62,-0.7579,2007
586,0.049,0.428,0.524,-0.9741,2007
587,0.028,0.31,0.661,-0.9578,2007
588,0.0,0.242,0.758,-0.802,2007
589,0.045,0.126,0.83,-0.5859,2007
590,0.236,0.097,0.667,0.7845,2007
591,0.067,0.154,0.779,-0.4588,2007
592,0.231,0.057,0.713,0.7269,2007
593,0.135,0.189,0.675,-0.4404,2007
594,0.052,0.266,0.682,-0.8555,2007
595,0.169,0.058,0.772,0.743,2007
596,0.093,0.279,0.628,-0.8578,2007
597,0.049,0.177,0.774,-0.7783,2007
598,0.037,0.0,0.963,0.128,2007
599,0.101,0.084,0.815,0.2092,2007
600,0.057,0.0,0.943,0.25,2007
601,0.165,0.265,0.569,-0.765,2007
602,0.235,0.095,0.67,0.8074,2007
603,0.151,0.141,0.707,0.128,2007
604,0.124,0.105,0.771,0.2263,2007
605,0.121,0.166,0.713,-0.7717,2007
606,0.057,0.059,0.884,-0.0258,2007
607,0.257,0.056,0.687,0.7845,2007
608,0.106,0.107,0.787,-0.0076,2007
609,0.096,0.0,0.904,0.5574,2007
610,0.074,0.059,0.867,0.1386,2007
611,0.083,0.0,0.917,0.4404,2007
612,0.158,0.149,0.693,0.1027,2007
613,0.103,0.0,0.897,0.5859,2007
614,0.118,0.049,0.833,0.4588,2007
615,0.04,0.058,0.902,-0.1779,2007
616,0.12,0.315,0.565,-0.9022,2007
617,0.0,0.083,0.917,-0.4215,2007
618,0.084,0.204,0.712,-0.765,2007
619,0.149,0.062,0.788,0.4939,2007
620,0.088,0.135,0.777,-0.2023,2007
621,0.123,0.056,0.821,0.1531,2007
